的	白勹丶
倒	亻至刂
六	六
江	氵工
绝	纟{尔字头}巴
敌	舌攵
黄	龷由八
技	扌支
朝	龺月
派	氵{反字框}{旅下角}
线	纟戋
站	立占
究	穴九
装	丬士衣
亚	亚
首	首
刚	冂乂刂
示	示
视	礻见
况	冫兄
增	土丷{曾字头无丷}日
谈	讠火火
惊	忄京
古	古
史	口𘱌
谁	讠隹
引	弓丨
须	彡页
七	七
息	自心
研	石开
际	阝示
器	吅犬吅
易	日{黎右角}丿
留	{留字头}田
推	扌隹
坐	从土
房	户方
广	广
注	氵主
查	木旦
语	讠五口
念	今心
若	艹{左字框}口
奇	大可
紧	{贤字头}糸
企	{全字头}止
希	乂{左字框}巾
委	禾女
响	口{向字框}口
号	口丂
参	厶大彡
势	执力
历	厂力
剑	亼{应字心}刂
攻	工攵
冷	冫今丶
投	扌殳
哪	口{那字旁}阝
农	冖{衣省}
专	专
图	囗夂{冬字底}
考	耂丂
选	先辶
终	纟夂{冬字底}
微	{微字框无一}一几
皇	白王
土	土
局	尸乛口
星	日生
足	足
刘	文刂
甚	其⺃
严	亚丿
医	匚矢
男	田力
营	{荧字头}吕
乎	乊{于无横}
仅	亻又
父	父
拿	合手
孩	子亥
答	{竹头}合
费	弗贝
标	木示
依	亻衣
兴	兴
低	亻氏丶
千	千
仍	亻乃
急	刍心
护	扌户
竟	音儿
某	甘木
较	{车旁}交
防	阝方
列	歹刂
讲	讠井
破	石皮
客	宀各
施	{旅字框}也
故	古攵
血	血
节	艹{节字底}
云	云
龙	龙
钱	钅戋
苏	艹力{横两点}
母	母
伤	亻{卧人}力
举	兴{举字底}
族	{旅字框}矢
按	扌宀女
维	纟隹
修	{修字旁}夂彡
帝	{立无横}冖巾
河	氵可
威	戊一女
巴	巴
划	戈刂
致	至攵
案	宀女木
革	革
底	广氏丶
送	关辶
冲	冫中
音	音
态	太心
够	句多
段	{段字旁}殳
构	木勹厶
群	君羊
船	舟几口
责	龶贝
苦	艹古
章	立早
律	彳聿
愿	原心
围	囗韦
京	京
衣	衣
喜	壴口
独	犭虫
效	交攵
斗	斗
细	纟田
怕	忄白
志	士心
米	米
晚	日{免五}儿
热	执灬
项	工页
料	米斗
例	亻歹刂
灵	彐火
密	宀心丿山
害	宀丰口
供	亻共
属	尸丿口{禺字底}
验	马亼{应字心}
境	土音儿
毛	毛
般	舟殳
居	居
继	纟米⺃
错	钅龷日
沉	氵冖几
采	爫木
既	{即字旁}旡
察	宀祭
否	不口
批	扌比
脑	月㐫
夜	亠亻{夜下角}
股	月殳
速	束辶
纪	纟己
续	纟{卖字头}⺀大
假	亻叚
帮	{寿字头}阝巾
乐	{乐二}小
陆	阝𰀁凵
型	开刂土
退	艮辶
友	友
铁	钅丿夫
汉	氵又
暗	日音
状	丬犬
左	{左字框}工
句	句
雷	{雨头}田
网	冂{网字心}
率	亠幺{率字腰}十
值	亻直
普	䒑业日
承	氶三
停	亻{亮字头}丁
试	讠弋工
弹	弓丷旦丨
止	止
职	耳只
药	艹纟勹丶
久	{久二}丶
印	{印字旁}卩
卫	{节字底}一
助	且力
掌	{尚头}手
织	纟只
阳	阝日
待	彳土寸
初	衤刀
追	{追字心}辶
木	木
哈	口合
您	你心
预	予页
刻	亥刂
创	{全字头}㔾刂
诉	讠斤丶
简	{竹头}门日
射	身寸
限	阝艮
球	王求
差	{差字头}工
树	木又寸
校	木交
兰	䒑二
怪	忄又土
阵	阝车
异	巳廾
宗	宀示
波	氵皮
育	{充字头}{青字底}
激	氵敫
担	扌旦
顿	屯页
游	氵{旅字框}子
充	{充字头}儿
银	钅艮
适	舌辶
省	少目
胡	古月
食	食
警	艹句攵言
素	龶糸
尼	尸匕
排	扌非
负	{尔字头}贝
背	北{青字底}
忽	{黎右角}丿心
酒	氵酉
穿	穴牙
福	礻{同字心}田
弟	丷弓{弟省无弓}
怀	忄不
欢	又欠
环	王不
招	扌刀口
模	木莫
胜	月生
痛	疒甬
习	习
险	阝亼{应字心}
财	贝才
益	{益字头}皿
宝	宀玉
脚	月去卩
疑	匕矢龴疋
乱	舌⺃
赶	走干
坚	{贤字头}土
获	艹犭犬
劳	{荧字头}力
挥	扌冖车
敢	乛耳攵
置	罒直
右	{左字框}口
压	厂土丶
香	禾日
层	尸云
略	田各
静	龶{青字底}{尔字头}{争字底}
村	木寸
范	{落字框}㔾
源	氵原
副	{同字心}田刂
州	{横三点}川
纳	纟内
岁	山夕
罪	罒非
余	{全字头}{余字底}
闻	门耳
占	占
玉	玉
哥	可可
杨	木乛{横两撇}
忙	忄亡
兄	兄
守	宀寸
跑	{足旁}包
述	木丶辶
座	广从土
田	田
摇	扌爫缶
超	走刀口
演	氵宀一由八
皮	皮
喝	口曷
买	乛⺀大
佛	亻弗
室	宀至
角	角
卡	上卜
封	圭寸
策	{竹头}{丙三}{木无横}
块	土夬
富	宀{同字心}田
判	丷{夫三}刂
配	酉己
姑	女古
优	亻尢丶
征	彳正
善	羊䒑口
刀	刀
娘	女丶艮
降	阝夂㐄
恶	亚心
宣	宀一旦
慢	忄日罒又
积	禾只
草	草
恐	工凡心
妈	女马
读	讠{卖字头}⺀大
靠	{告字头}口非
阶	阝介
楚	林疋
姐	女且
爸	父巴
执	执
呼	口乊{于无横}
协	十力{横两点}
洲	氵{横三点}川
巨	巨
免	{免五}儿
检	木亼{应字心}
养	{养字头}{乔字底}
顾	厂㔾页
救	求攵
份	亻分
控	扌穴工
抗	扌亠几
著	艹者
赵	走乂
肯	止{青字底}
露	{雨头}{足旁}各
换	扌奂
登	癶豆
伊	亻尹
犯	犭㔾
尚	尚
莫	莫
危	{尔字头}厂㔾
审	宀申
