的	白勹丶
韪	是韦
屙	尸阝可
睇	目丷弓{弟省无弓}
芏	艹土
蠓	虫{荧字头}一豕
郗	乂{左字框}巾阝
嘧	口宀心丿山
坨	土宀匕
垭	土亚
聩	耳{贵字头}贝
菸	艹方{全字头}{冬字底}
裰	衤双双
钒	钅凡
铆	钅卯
饫	饣夭
鹚	䒑幺幺鸟
龆	齿刀口
桁	木行
濉	氵目隹
芄	艹丸
藿	艹{雨头}隹
仞	亻刀丶
洮	氵儿{率字腰}
缬	纟士口页
褫	衤{反字框}虎
鏊	敖金
饩	饣气
仟	亻千
侩	亻{全字头}云
嘞	口革力
眇	目少
绔	纟大亏
腚	月定
菅	艹宀㠯
萸	艹臼人
踔	{足旁}{卢字头}早
妯	女由
蚧	虫介
垅	土龙
杷	木巴
莴	艹呙
诔	讠耒
镒	钅{益字头}皿
鞫	革勹言
勰	力力力田心
囟	囟
怄	忄区
枇	木比
溧	氵覀木
澶	氵亠囗口旦
绱	纟尚
锒	钅丶艮
嘌	口覀示
掛	扌圭卜
擤	扌鼻
矽	石夕
篑	{竹头}{贵字头}贝
嵊	山{禾框}北
枳	木只
珩	王行
痼	疒囗古
笾	{竹头}力辶
袢	衤半
逄	夂㐄辶
鸹	舌鸟
呋	口夫
撺	扌穴吕丨
煅	火{段字旁}殳
芡	艹欠
讧	讠工
贽	执贝
锶	钅田心
黾	黾
幂	冖日大巾
樗	木{雨头}亏
瞽	壴支目
砉	丰石
縻	麻糸
蚋	虫内
蜍	虫{全字头}{余字底}
跆	{足旁}厶口
亳	{亮字头}丿七
囵	囗仑
怫	忄弗
桉	木宀女
祢	礻{尔字头}小
阌	门{爱字头}又
虺	兀虫
傈	亻覀木
囹	囗今丶
旯	日九
肼	月井
腭	月吅亏
魈	鬼肖
卮	{后字框}㔾
忪	忄公
朐	月句
滁	氵阝{全字头}{余字底}
笪	{竹头}旦
簟	{竹头}覀早
蜉	虫爫子
衿	衤今
侔	亻厶牛
堀	土尸出
睚	目厂圭
箧	{竹头}匚夹
荛	艹{尧字头}兀
裢	衤车辶
貉	豸各
趸	万足
镊	钅耳双
闫	门三
侪	亻齐
悒	忄邑
汊	氵又丶
泫	氵亠幺
笸	{竹头}匚口
雎	且隹
鳟	鱼酋寸
榧	木匚非
獒	敖犬
跎	{足旁}宀匕
阃	门囗木
黢	黑厶八夂
喁	口日{禺字底}
枥	木厂力
渑	氵黾
牖	片户甫
佤	亻瓦
嗍	口䒑䶹月
庥	广亻木
眙	目厶口
筮	{竹头}工从
缶	缶
餮	歹{全字头}彡食
嗉	口龶糸
堋	土月月
夥	果多
峄	山又{举字底}
拊	扌亻寸
昀	日勹冫
浯	氵五口
糅	米矛木
綦	其糸
罴	罒去灬
镛	钅广⺺{青字底}
馓	饣龷{青字底}攵
驽	女又马
倬	亻{卢字头}早
唿	口{黎右角}丿心
柘	木石
蜢	虫子皿
螈	虫原
佔	亻占
柢	木氏丶
茴	艹囗口
蟛	虫壴彡
鸱	氏丶鸟
冼	冫先
嘏	古叚
堇	革二
岿	山{师字旁}彐
栀	木{后字框}㔾
氘	气{乔字底}
渫	氵廿⺃木
瘅	疒丷旦丨
硌	石各
箅	{竹头}田丌
翀	羽中
腈	月龶{青字底}
苎	艹宀一
鲐	鱼厶口
咴	口{左字框}火
啫	口者
寤	宀爿五口
搿	龵合手
毽	毛聿廴
泮	氵半
秕	禾比
蚍	虫比
袷	衤合
裾	衤居
跬	{足旁}圭
醢	酉{左字框}口皿
係	亻丿糸
倥	亻穴工
珐	王去
瓞	瓜丿夫
碓	石隹
笊	{竹头}爪
舻	舟{卢字头}尸
跞	{足旁}{乐二}小
跹	{足旁}千辶
髂	骨宀各
鹕	古月鸟
楮	木者
膈	月鬲
郃	合阝
铄	钅{乐二}小
旃	{旅字框}丹
矬	矢从土
砩	石弗
艏	舟首
苴	艹且
荏	艹亻壬
螯	敖虫
圮	土己
帙	巾丿夫
旆	{旅字框}{丙三}丨
桡	木{尧字头}兀
溆	氵{全字头}{余字底}又
潴	氵犭者
瘘	疒娄
缒	纟{追字心}辶
芰	艹支
诎	讠出
锑	钅丷弓{弟省无弓}
椴	木{段字旁}殳
苄	艹亠卜
陟	阝止{步字底}
雙	隹隹又
刖	月刂
啁	口{周字框}土口
悭	忄{贤字头}土
東	{凬字心}{木无横}
熘	火{留字头}田
锕	钅阝可
疝	疒山
莸	艹犭尢丶
雠	隹讠隹
鹩	大丷日小鸟
嗾	口{旅字框}矢
稞	禾果
蛱	虫夹
赅	贝亥
鲋	鱼亻寸
匏	大亏包
崤	山乂{左字框}{青字底}
怙	忄古
砀	石乛{横两撇}
蠊	虫广䒑{聿三}{兼无䒑无彐}
裣	衤亼{应字心}
鹆	谷鸟
鼬	鼠由
炝	火{全字头}㔾
疖	疒{节字底}
硷	石亼{应字心}
籴	入米
芟	艹殳
愀	忄禾火
沆	氵亠几
痍	疒{大框}弓
硪	石我
苤	艹不一
蔻	艹宀元攴
蜮	虫戈口一
蹉	{足旁}{差字头}工
鳊	鱼户{扁字心}
僳	亻覀米
嗌	口{益字头}皿
崃	山来
崾	山覀女
薜	艹辟
跗	{足旁}亻寸
韫	韦日皿
卣	{卢字头}囗{叚右角}
浞	氵足
猢	犭古月
獯	犭千黑
瘿	疒贝贝女
艉	舟尸毛
訇	勹言
踯	{足旁}关阝
醍	酉是
雱	{雨头}方
僦	亻京尢丶
嫒	女{爱字头}友
畛	田{全字头}彡
硐	石冂{同字心}
缯	纟丷{曾字头无丷}日
胨	月{东二}小
鄄	覀土阝
锸	钅千臼
佶	亻士口
埙	土员
嬖	辟女
尕	乃小
徉	彳羊
怛	忄旦
槲	木角斗
獬	犭角刀牛
脲	月尸水
鞴	革龷丿用
鼍	吅田一黾
乇	丿七
噻	口{寒字头}土
婧	女龶{青字底}
嵴	山{率字腰}人{青字底}
涑	氵束
缃	纟相
谰	讠门束丷
粜	出米
铧	钅化十
晷	日夂卜口
狯	犭{全字头}云
狲	犭子小
畈	田{反字框}又
笱	{竹头}句
逦	一{丽下角}{丽下角}辶
钪	钅亠几
雲	{雨头}云
圄	囗五口
榇	木亲
焐	火五口
肫	月屯
膂	{旅字框}{旅下角}{青字底}
鲅	鱼友丶
凼	水凵
珲	王冖车
锛	钅大十廾
伧	亻{全字头}㔾
劢	万力
昴	日卯
猱	犭矛木
癯	疒目目隹
盱	目一{于无横}
觳	{彀左角}角殳
鲮	鱼土八夂
宄	宀九
椁	木{享字头}子
笄	{竹头}开
伥	亻长
厍	厂车
砻	龙石
荠	艹齐
蛘	虫羊
塬	土原
挹	扌邑
菽	艹上小又
葉	艹廿⺃木
轳	{车旁}{卢字头}尸
鹨	羽{全字头}彡鸟
亓	一丌
倮	亻果
儋	亻{尔字头}厂八言
捌	扌另刂
氡	气夂{冬字底}
胗	月{全字头}彡
钼	钅目
锆	钅{告字头}口
鹁	{索字头}子鸟
嚯	口{雨头}隹
郾	匚日女阝
铖	钅{成三}{戈无一}
鞒	革夭{乔字底}
鲠	鱼更
僅	亻革二
焯	火{卢字头}早
锗	钅者
陉	阝{经右角}工
隳	阝{左字框}工{青字底}{全字头}{恭字底}
麪	麥丅⺃乛
嘬	口日耳又
杓	木勹丶
枵	木口丂
畚	厶大田
盍	去皿
硗	石{尧字头}兀
肟	月亏
虿	万虫
裥	衤门日
週	{周字框}土口辶
鲰	鱼耳又
兕	{凹无横}兀
垓	土亥
檩	木亠囗口示
熳	火日罒又
邨	屯阝
鬯	{鬯字头无凵}凵匕
黼	业㡀甫
狍	犭包
瓠	大亏瓜
赀	此贝
跣	{足旁}先
龀	齿{化字边}
廠	广尚攵
澍	氵壴寸
碡	石龶母
缱	纟{贵字头}㠯辶
蛑	虫厶牛
诶	讠厶矢
锩	钅龹㔾
镧	钅门束丷
馃	饣果
鬟	镸彡罒{同字心}{衣省}
孑	了一
嵯	山{差字头}工
篪	{竹头}{反字框}虎
绲	纟日比
罘	罒不
耪	耒{立无横}冖方
茔	{荧字头}土
蹚	{足旁}{尚头}土
鸫	{东二}小鸟
聃	耳冉
谇	讠亠从十
呖	口厂力
慊	忄䒑{聿三}{兼无䒑无彐}
戆	立早夂工贝心
炅	日火
胼	月丷开
菔	艹月{报字边无又}又
菹	{落字框}且
镞	钅{旅字框}矢
唢	口{尚字头}贝
砗	石车
莼	艹纟屯
萋	艹{妻字头}女
辚	{车旁}米舛
鼙	壴支卑
傧	亻宀兵
扦	扌千
赉	来贝
铍	钅皮
戗	{全字头}㔾戈
摭	扌{度字框}灬
楸	木禾火
洳	氵女口
萘	艹大示
蘩	艹{卧人}母攵糸
躅	{足旁}罒勹虫
鲀	鱼屯
嶝	山癶豆
羰	{差字头}山{左字框}火
胂	月申
蘖	艹{追字心}辛木
诼	讠豕丶
钕	钅女
鲡	鱼一{丽下角}{丽下角}
堞	土廿⺃木
啉	口林
疃	田童
篁	{竹头}白王
蚬	虫见
钋	钅卜
钲	钅正
楝	木束丷
芤	艹子⺃
镆	钅莫
呒	口无
楦	木宀一旦
畀	田丌
痱	疒非
鸶	{丝左角}{丝左角}一鸟
垡	亻戈土
缣	纟䒑{聿三}{兼无䒑无彐}
阊	门日日
骱	骨介
偾	亻十艹贝
咁	口甘
廛	广里八土
瓴	今丶瓦
脔	{变字头}肉
舨	舟{反字框}又
葎	艹彳聿
迓	牙辶
崞	山{享字头}子
畋	田攵
痧	疒氵少
窳	穴瓜瓜
羧	{差字头}厶八夂
艽	艹九
葑	艹圭寸
蛏	虫又土
蜣	虫{差字头}⺃
醣	酉唐
钣	钅{反字框}又
颎	匕火页
髑	骨罒勹虫
黧	禾{黎右角}黑
喾	{学无子}{告字头}口
帔	巾皮
殄	歹{全字头}彡
甙	弋甘
秫	禾木丶
蠛	虫艹罒戊丶
踟	{足旁}矢口
逑	求辶
镔	钅宀兵
驺	马刍
鼗	儿{率字腰}壴支
極	木了口又一
硖	石夹
罟	罒古
裎	衤口王
蹰	{足旁}厂豆寸
邰	厶口阝
髌	骨宀兵
麸	麦夫
岵	山古
暌	日癶天
暝	日冖日六
欹	大可欠
窀	穴屯
蓼	艹羽{全字头}彡
骘	阝止{步字底}马
孥	女又子
幛	巾立早
愦	忄{贵字头}贝
肷	月欠
薹	艹士口冖至
钎	钅千
钭	钅斗
镬	钅艹隹又
曩	日{衣框}吅{寒字腰}
泔	氵甘
溘	氵去皿
粝	米厂万
荽	艹爫女
蚶	虫甘
衄	血乛{里无日}
裉	衤艮
鹈	丷弓{弟省无弓}鸟
圉	囗土{南字心}
嫘	女田糸
旒	{旅字框}㐬
箪	{竹头}丷旦丨
粢	冫欠米
裼	衤日{黎右角}丿
跫	工凡足
酃	{雨头}{龠字腰}阝
殳	殳
瀣	氵歺又非一
皤	白釆田
睃	目厶八夂
脘	月宀元
莪	艹我
雞	爫幺大隹
哌	口{反字框}{旅下角}
甯	宀心{甬字底}
疠	疒万
疴	疒可
胙	月乍
蚰	虫由
螬	虫一曲日
谵	讠{尔字头}厂八言
鐾	辟金
钌	钅了
髮	镸彡友丶
鳔	鱼覀示
彘	彑{比字旁}矢匕
罾	罒丷{曾字头无丷}日
鄞	革二阝
醵	酉虍豕
隹	隹
鳢	鱼曲豆
鹪	隹灬鸟
旄	{旅字框}毛
绨	纟丷弓{弟省无弓}
蕖	艹氵巨木
虮	虫几
蝽	虫{春字头}日
尥	尢勹丶
煳	火古月
玎	王丁
璁	王囱心
罱	罒十{身字框}{南字心}
萑	艹隹
衝	行𡈼旦
钫	钅方
锱	钅巛田
悱	忄非
捩	扌户犬
榱	木{衣框}{衰字腰}
濞	氵鼻
瑷	王{爱字头}友
砹	石艹乂
窨	穴音
篦	{竹头}囟比
螽	夂{冬字底}虫虫
憷	忄林疋
磴	石癶豆
蘼	艹麻非
褊	衤户{扁字心}
貔	豸囟比
跖	{足旁}石
辊	{车旁}日比
逯	{录字头}氺辶
嵝	山娄
糗	米自犬
蝣	虫{旅字框}子
鳚	鱼尸示寸
麇	鹿禾
曛	日千黑
湔	氵䒑{青字底}刂
癔	疒音心
肜	月彡
醐	酉古月
庀	广匕
沖	氵中
猡	犭罒夕
玢	王分
皴	厶八夂皮
筇	{竹头}工阝
艨	舟{荧字头}一豕
袼	衤各
轫	{车旁}刀丶
逭	宀㠯辶
遄	山而辶
钯	钅巴
髀	骨卑
敫	敫
朊	月元
槔	木白大十
沔	氵丅⺃乛
泶	{学无子}水
蒌	艹娄
蛲	虫{尧字头}兀
蹀	{足旁}廿⺃木
鹾	卤{差字头}工
浼	氵{免五}儿
煙	火覀土
犸	犭马
苊	艹厂㔾
薅	艹女辰寸
酽	酉亚丿
鲔	鱼{左字框}{青字底}
嵛	山亼{青字底}刂
樘	木{尚头}土
獍	犭音儿
祆	礻天
窭	穴娄
銎	工凡金
喱	口厂里
捭	扌卑
湓	氵分皿
缡	纟㐫禸
藁	艹高木
迕	{卧人}十辶
酐	酉干
靈	{雨头}{龠字腰}工从
勝	月龹力
瞋	目直八
偬	亻勹{横两撇}丶心
搴	{寒字头}手
準	氵隹十
砬	石立
肭	月内
舾	舟西
莩	艹爫子
葚	艹其⺃
鲃	鱼巴
鹱	鸟艹隹又
侉	亻大亏
渖	氵宀申
璩	王虍豕
篯	{竹头}钅戋
糇	米亻{候右角}矢
芑	艹己
褰	{寒字头}衣
铋	钅心丿
鳙	鱼广⺺{青字底}
仫	亻丿厶
岣	山句
庹	{度字框}尺
戥	日生戈
杪	木少
漯	氵田糸
甾	巛田
籼	米山
肀	肀
锊	钅爫寸
溏	氵唐
穸	穴夕
酡	酉宀匕
铒	钅耳
铯	钅{尔字头}巴
鞔	革{免五}儿
鲚	鱼齐
哏	口艮
敉	米攵
燹	豕豕火
豉	豆支
醭	酉业{养字头}
钇	钅乛
锼	钅臼丨又
磙	石{衣框}公
祕	礻心丿
菘	艹木公
钔	钅门
锜	钅大可
炱	厶口火
茭	艹交
锿	钅{衣框}口
骢	马囱心
仡	亻{卧人}乛
垴	土㐫
炻	火石
琚	王居
疳	疒甘
镗	钅{尚头}土
鸺	亻木鸟
搠	扌䒑䶹月
砜	石风
陸	阝土八土
隰	阝日幺幺灬
刿	山夕刂
桤	木山己
瓿	咅瓦
缧	纟田糸
荸	艹{索字头}子
菡	艹𠄏{率字腰}凵
馇	饣木旦
鳇	鱼白王
栌	木{卢字头}尸
溲	氵臼丨又
艚	舟一曲日
锝	钅旦寸
鹮	罒{同字心}{衣省}鸟
仵	亻{卧人}十
嶷	山匕矢龴疋
殍	歹爫子
煺	火艮辶
羼	尸羊{差字头}羊
葜	艹丰刀大
谂	讠今心
镅	钅{眉字框}目
鲷	鱼{周字框}土口
吣	口心
氙	气山
硭	石芒
窬	穴亼{青字底}刂
蒴	艹䒑䶹月
铑	钅老
哿	力口可
窆	穴丿之
筌	{竹头}{全字头}王
蟥	虫龷由八
锍	钅㐬
鸸	而鸟
佢	亻巨
橥	犭者木
甓	辟瓦
硇	石囟
苒	艹冉
蒡	艹{立无横}冖方
鞲	革{寒字腰}冉
鸲	句鸟
喹	口大圭
囧	囗八{见二}
檠	艹句攵木
爨	{臼裂}冂{同字心}冖林大火
艟	舟童
跶	{足旁}大辶
辂	{车旁}各
镓	钅宀豕
髟	镸彡
涠	氵囗韦
葳	艹戊一女
邴	一内阝
铙	钅{尧字头}兀
锪	钅{黎右角}丿心
淚	氵户犬
胩	月上卜
镄	钅弗贝
眬	目龙
蕤	艹豕生
遊	{旅字框}子辶
龢	亼{龠字腰}{扁字心}禾
翥	者羽
幾	幺幺戈人
耒	耒
術	行木丶
躔	{足旁}广里八土
黥	黑京
箬	{竹头}艹{左字框}口
谮	讠旡旡日
唸	口今心
傑	亻舛木
訾	此言
戢	口耳{戈无一}
樑	木氵刀{横两点}木
檑	木{雨头}田
襦	衤{雨头}而
歃	千臼欠
瘌	疒束刂
捲	扌龹㔾
潋	氵亼{应字心}攵
湊	氵{春字头}天
纛	龶母{具字头}小丿糸
蓍	艹老日
徼	彳敫
杌	木兀
芈	⻀𰀁
廢	广癶弓殳
滹	氵虍乊{于无横}
爿	爿
謦	士{眉字框}殳言
狴	犭比土
玟	王文
眭	目圭
貅	豸亻木
郜	{告字头}口阝
娈	{变字头}女
嫫	女莫
搦	扌弓冫弓冫
瑗	王爫一友
疋	疋
豐	山丰丰豆
撐	扌{尚头}牙
殼	{彀左角}几殳
柰	木示
殂	歹且
糨	米弓口虫
绐	纟厶口
塗	氵{全字头}{余字底}土
沭	氵木丶
犴	犭干
蕈	艹覀早
谳	讠十{身字框}{南字心}犬
坻	土氏丶
怿	忄又{举字底}
牠	牜也
瑠	{斜玉}{留字头}田
翮	鬲羽
耋	老至
尻	尸九
棹	木{卢字头}早
阼	阝乍
骝	马{留字头}田
妳	女{尔字头}小
撄	扌贝贝女
柒	氵七木
侑	亻{左字框}{青字底}
悝	忄里
欷	乂{左字框}巾欠
洇	氵囗大
燠	火{向字框}米大
薑	艹一田一田一
坩	土甘
媵	月龹女
徂	彳且
旰	日干
洎	氵自
澌	氵其斤
妧	女元
廨	广角刀牛
缵	纟先先贝
裏	{衣框}里
觇	占见
兇	凶儿
崦	山大电
採	扌爫木
耧	耒娄
轺	{车旁}刀口
镝	钅{立无横}冂古
霪	{雨头}氵爫壬
喈	口比白
眚	生目
剡	火火刂
哓	口{尧字头}兀
怍	忄乍
悛	忄厶八夂
蓐	艹辰寸
觚	角瓜
貊	豸百
卺	氶一㔾
昝	夂卜日
柙	木甲
栊	木龙
棰	木垂
绂	纟友丶
莳	艹日寸
蒹	艹䒑{聿三}{兼无䒑无彐}
蚺	虫冉
參	厶厶厶{全字头}彡
嵫	山䒑幺幺
幞	巾业{养字头}
滏	氵父{金字底}
瘗	疒夹土
蓊	艹公羽
蠃	{赢字框}虫
複	衤{卧人}日夂
豳	山豕豕
遘	{寒字腰}冉辶
锞	钅果
雩	{雨头}亏
鬲	鬲
呙	呙
梃	木壬廴
確	石冖隹
秭	禾{姊字边}
粵	丿囗釆丂
茕	{荧字头}乛十
蕞	艹日耳又
蝰	虫大圭
邾	丿未阝
髒	骨艹歹匕廾
伛	亻区
暾	日{享字头}子攵
祧	礻儿{率字腰}
腩	月十{身字框}{南字心}
踣	{足旁}咅
颟	艹两页
骖	马厶大彡
黻	业㡀友丶
仝	{全字头}工
堠	土亻{候右角}矢
壇	土亠囗口旦
悫	{壳字头}几心
筅	{竹头}先
缍	纟垂
缑	纟亻{候右角}矢
蒽	艹囗大心
豸	豸
轵	{车旁}只
陬	阝耳又
麈	鹿主
刳	大亏刂
哕	口山夕
帻	巾龶贝
桫	木氵少
繫	車凵殳糸
纔	幺{横三点}{免五}比兔
臟	月艹{臧字框}臣
荑	艹{大框}弓
蹁	{足旁}户{扁字心}
隈	阝田一{畏字底}
骟	马户羽
佾	亻八{青字底}
剀	山己刂
埒	土爫寸
埸	土日{黎右角}丿
攮	扌{囊字头}吅{寒字腰}{衣省}
栲	木耂丂
栳	木老
泺	氵{乐二}小
洧	氵{左字框}{青字底}
糌	米夂卜日
艹	艹
荦	{荧字头}牛
赙	贝甫寸
鲥	鱼日寸
圬	土亏
圯	土巳
塄	土罒方
壩	土{雨头}革月
妣	女比
忭	忄亠卜
慝	匚艹{左字框}口心
椟	木{卖字头}⺀大
犰	犭九
瘳	疒羽{全字头}彡
耜	耒㠯
艸	䶹屮
茌	艹亻士
荇	艹行
蛸	虫肖
贳	廿⺃贝
踬	{足旁}{反字框}十贝
郄	乂{左字框}厶阝
铗	钅夹
颃	亠几页
鹹	{卢字头}囗{鬯字头无凵}戊{同字心}
丌	丌
仳	亻比
刭	{经右角}工刂
劓	鼻刂
哚	口几木
唣	口白七
屣	尸彳止龰
擐	扌罒{同字心}{衣省}
晡	日甫
柝	木斤丶
檎	木{全字头}㐫禸
歷	厂禾禾止
溷	氵囗豕
糞	米田共
習	羽白
蓥	{荧字头}金
蘧	艹虍豕辶
趑	走冫欠
趱	走先先贝
邗	干阝
郐	{全字头}云阝
陴	阝卑
颡	又双木页
傢	亻宀豕
嘆	口廿口夫
坜	土厂力
惝	忄尚
掎	扌大可
柽	木又土
瀹	氵亼{龠字腰}{扁字心}
猞	犭{全字头}{舍字底}
疔	疒丁
癀	疒龷由八
簋	{竹头}艮皿
絷	执糸
缌	纟田心
葸	艹田心
郫	卑阝
锔	钅尸乛口
镡	钅覀早
骐	马其
叻	口力
噍	口隹灬
圹	土广
垧	土{向字框}口
埭	土{隶字框}{率字腰}
埴	土直
屍	尸歹匕
屦	尸彳娄
廑	广革二
悃	忄囗木
拶	扌巛夕
昃	日厂人
桴	木爫子
氍	目目隹毛
災	巛火
猁	犭禾刂
瘐	疒臼人
砑	石牙
箜	{竹头}穴工
篚	{竹头}匚非
绁	纟廿⺃
缳	纟罒{同字心}{衣省}
芘	艹比
萁	艹其
蓁	艹{春字头}禾
蓠	艹㐫禸
酹	酉爫寸
镪	钅弓口虫
馘	首戈口一
鳐	鱼爫缶
佈	亻{左字框}巾
垆	土{卢字头}尸
堙	土覀土
怃	忄无
憝	{享字头}子攵心
扃	户冂口
撙	扌酋寸
殪	歹{壳字头}豆
毳	毛毛毛
浍	氵{全字头}云
溱	氵{春字头}禾
狺	犭言
珙	王共
瘰	疒田糸
眄	目丅⺃乛
礅	石{享字头}子攵
菰	艹子瓜
蕻	艹镸共
蜩	虫{周字框}土口
觋	工从见
贶	贝兄
郇	勹日阝
镩	钅穴吕丨
髹	镸彡亻木
黟	黑多
佴	亻耳
坼	土斤丶
岈	山牙
岙	夭山
怳	忄兄
掊	扌咅
揎	扌宀一旦
杩	木马
溽	氵辰寸
牾	牜五口
狃	犭乛{里无日}
珉	王民
矧	矢弓丨
筚	{竹头}比十
箨	{竹头}扌又{举字底}
糍	米䒑幺幺
绗	纟行
舄	臼勹灬
舳	舟由
艋	舟子皿
茳	{落字框}工
蝾	虫{荧字头}木
觌	{卖字头}⺀大见
觜	此角
貘	豸莫
轹	{车旁}{乐二}小
酎	酉寸
酤	酉古
醜	酉鬼
铫	钅儿{率字腰}
镟	钅{旅字框}疋
镥	钅鱼日
陔	阝亥
骀	马厶口
髫	镸彡刀口
龠	亼{龠字腰}{扁字心}
兌	八兄
坫	土占
埝	土今心
彖	彑{豕省}
戽	户斗
揸	扌木旦
摅	扌虍心
枘	木内
柁	木宀匕
栝	木舌
沩	氵丶{为字框}丶
皲	冖{车旁}皮
瞀	矛攵目
筲	{竹头}肖
篼	{竹头}白{卬字旁}{叚右角}儿
糈	米疋{青字底}
綮	户攵糸
羝	{差字头}氏丶
茆	艹卯
茛	艹艮
荜	艹比十
蔸	艹白{卬字旁}{叚右角}儿
薤	艹歹非一
趵	{足旁}勹丶
跽	{足旁}己心
辋	{车旁}冂䒑亡
鲵	鱼臼儿
鲼	鱼十艹贝
鹣	䒑{聿三}{兼无䒑无彐}鸟
仉	亻几
垲	土山己
埕	土口王
妁	女勹丶
孓	𠄏丶
忉	忄刀
忮	忄支
慾	谷欠心
戋	戋
挢	扌夭{乔字底}
揠	扌匚日女
桄	木光
桷	木角
棼	林分
檫	木宀祭
毹	亼{青字底}刂毛
洫	氵血
淩	氵土八夂
滠	氵耳双
漭	氵艹犬廾
爝	火爫罒{即字旁}寸
狳	犭{全字头}{余字底}
珧	王儿{率字腰}
畎	田犬
疬	疒厂力
痦	疒五口
瘊	疒亻{候右角}矢
瘼	疒莫
瞢	艹罒冖目
祓	礻友丶
籀	{竹头}扌{留字头}田
纩	纟广
聱	敖耳
脞	月从土
腠	月{春字头}天
莨	艹丶艮
萆	艹卑
蒉	艹{贵字头}贝
蕺	艹口耳{戈无一}
蝤	虫酋
蝻	虫十{身字框}{南字心}
襻	衤木爻木大手
觏	{寒字腰}冉见
赆	贝尺{冬字底}
趼	{足旁}开
醅	酉咅
铊	钅宀匕
镲	钅宀祭
阽	阝占
鲽	鱼廿⺃木
鳜	鱼厂䒑䶹欠
鹇	门木鸟
儇	亻罒{同字心}{衣省}
劂	厂䒑䶹欠刂
坌	分土
坭	土尸匕
坶	土母
埏	土{延字心}廴
埤	土卑
帱	巾{寿字头}寸
恥	耳心
恧	而心
擗	扌辟
枧	木见
桿	木日干
楗	木聿廴
檗	辟木
汆	入水
汔	氵{卧人}乛
淠	氵田丌
漶	氵吕丨心
澉	氵乛耳攵
狁	犭厶儿
璺	{臼裂}冂{同字心}冖玉
甍	艹罒冖瓦
瘵	疒祭
禊	礻丰刀大
箦	{竹头}龶贝
篌	{竹头}亻{候右角}矢
绠	纟更
舡	舟工
舴	舟乍
葶	艹{亮字头}丁
蔟	艹{旅字框}矢
蠟	虫巛{巤字底}
襞	辟衣
觖	角夬
赇	贝求
躐	{足旁}巛{巤字底}
躜	{足旁}先先贝
轾	{车旁}至
邡	方阝
骒	马果
鬏	镸彡禾火
鲞	龹鱼
鳘	{卧人}母攵鱼
黉	{学无子}龷由八
鼷	鼠爫幺大
俜	亻由丂
僬	亻隹灬
劁	隹灬刂
哳	口扌斤
垌	土冂{同字心}
垸	土宀元
塍	月龹土
墁	土日罒又
屺	山己
岜	山巴
岡	冂䒑山
廒	广敖
弔	弓丨
復	彳{卧人}日夂
揲	扌廿⺃木
搌	扌尸{展字心}
搛	扌䒑{聿三}{兼无䒑无彐}
攉	扌{雨头}隹
枨	木长
柃	木今丶
桊	龹木
椐	木居
椠	{车旁}斤木
椹	木其⺃
樨	木尸{犀字心头}牛
橼	木纟彑{豕省}
毵	厶大彡毛
氆	毛䒑业日
氽	{全字头}水
泐	氵阝力
溻	{温字框}羽
潲	氵禾肖
猃	犭亼{应字心}
甏	壴彡瓦
眍	目区
瞍	目臼丨又
瞵	目米舛
砘	石屯
碹	石宀一旦
磲	石氵巨木
篥	{竹头}覀木
簏	{竹头}鹿
绋	纟弗
缲	纟口吅木
罨	罒大电
耩	耒{寒字腰}冉
脬	月爫子
腧	月亼{青字底}刂
舣	舟丶𘱌
舯	舟中
芴	艹{黎右角}丿
蒇	艹戊贝
蓰	艹彳止龰
蔌	艹束欠
薦	艹{鹿字框}{与无横}灬
蝥	矛攵虫
褙	衤北{青字底}
豇	豆工
邶	{邶字旁}阝
酞	酉太
酲	酉口王
酾	酉一{丽下角}{丽下角}
钐	钅彡
锬	钅火火
锾	钅爫一友
镙	钅田糸
陧	阝日土
顸	干页
鲭	鱼龶{青字底}
黹	业㡀
鼢	鼠分
㞎	尸巴
佧	亻上卜
傺	亻祭
冱	冫一彑
剞	大可刂
唪	口{春字头}{举字底}
唼	口妾
埚	土呙
堍	土兔
墼	車凵殳土
夼	大川
尜	小大小
岽	山{东二}小
庳	广卑
彳	彳
恝	丰刀心
捃	扌君
桕	木臼
榍	木尸肖
氵	氵
泖	氵卯
浈	氵{卢字头}贝
滗	氵{竹头}毛
瀵	氵米田共
犋	牜{具字头}八
瘕	疒叚
瘥	疒{差字头}工
癃	疒阝夂一生
癍	疒王文王
眢	夕㔾目
眵	目多
礓	石一田一田一
稂	禾丶艮
筢	{竹头}扌巴
箢	{竹头}宀夕㔾
缋	纟{贵字头}贝
膣	月穴至
臌	月壴支
艴	弗{尔字头}巴
茚	艹{印字旁}卩
茺	艹{充字头}儿
茼	艹冂{同字心}
莛	艹壬廴
萏	艹{负字头}臼
蜞	虫其
蝓	虫亼{青字底}刂
赕	贝火火
蹯	{足旁}釆田
酴	酉{全字头}{余字底}
钅	钅
钬	钅火
铴	钅氵乛{横两撇}
锇	钅我
镘	钅日罒又
霈	{雨头}氵{丙三}丨
颥	{雨头}而页
飑	风包
驵	马且
鬆	镸彡木公
鲦	鱼夂朩
鲳	鱼日日
鹛	{眉字框}目鸟
說	言八兄
砦	此石
還	罒{同字心}{衣省}辶
對	业{美字头}寸
個	亻囗古
枞	木从
嗎	口馬
爲	爫{爲字框}灬
會	亼{曾字头无丷}日
