字	拆分	全码	类型	末字根
访	讠 方	slj	二根	方
抚	扌 无	vri	二根	无
阳	阝 日	ewr	二根	日
但	亻 旦	iuw	二根	旦
堤	土 是	cje	二根	是
憬	忄 景	guk	二根	景
汩	氵 曰	mql	二根	曰
蛐	虫 曲	hne	二根	曲
便	亻 更	ipx	二根	更
喝	口 曷	pbl	二根	曷
明	日 月	wjs	二根	月
宋	宀 木	dyq	二根	木
杂	九 朩	tyq	二根	朩
朱	丿 未	let	二根	未
抹	扌 末	vmk	二根	末
莱	艹 来	qhe	二根	来
森	木 林	ygl	二根	林
课	讠 果	smv	二根	果
欢	又 欠	zkc	二根	欠
证	讠 正	snt	二根	正
疵	疒 此	wvo	二根	此
设	讠 殳	sfn	二根	殳
毋	毋	kll	单根	
批	扌 比	vlq	二根	比
舐	舌 氏	jox	二根	氏
眠	目 民	fic	二根	民
汽	氵 气	mdm	二根	气
泉	白 水	dbk	二根	水
衍	行 氵	eme	二根	氵
球	王 求	kvu	二根	求
伙	亻 火	ixl	二根	火
热	执 灬	oxl	二根	灬
抓	扌 爪	vch	二根	爪
驳	马 爻	wiq	二根	爻
穿	穴 牙	kxh	二根	牙
牢	宀 牛	drs	二根	牛
状	丬 犬	hro	二根	犬
宝	宀 玉	djg	二根	玉
孤	子 瓜	lvw	二根	瓜
瓮	公 瓦	wij	二根	瓦
甜	舌 甘	jyp	二根	甘
姓	女 生	onc	二根	生
拥	扌 用	vuf	二根	用
捕	扌 甫	vah	二根	甫
涌	氵 甬	mxd	二根	甬
细	纟 田	lty	二根	田
抽	扌 由	vkv	二根	由
押	扌 甲	vda	二根	甲
审	宀 申	dkn	二根	申
奄	大 电	nzf	二根	电
怕	忄 白	gdh	二根	白
陌	阝 百	epi	二根	百
皱	刍 皮	jzs	二根	皮
省	少 目	vfm	二根	目
值	亻 直	iyd	二根	直
茅	艹 矛	qhc	二根	矛
医	匚 矢	xlv	二根	矢
磨	麻 石	ara	二根	石
际	阝 示	eth	二根	示
察	宀 祭	dme	二根	祭
穴	穴	kgg	单根	
拉	扌 立	vjk	二根	立
撞	扌 童	vvs	二根	童
竹	竹	khh	单根	
眯	目 米	fzc	二根	米
系	丿 糸	lcp	二根	糸
窑	穴 缶	kuq	二根	缶
洋	氵 羊	mas	二根	羊
扇	户 羽	uqu	二根	羽
姥	女 老	opf	二根	老
诸	讠 者	svn	二根	者
斋	文 而	hui	二根	而
诔	讠 耒	soa	二根	耒
耸	从 耳	lua	二根	耳
律	彳 聿	tja	二根	聿
肀	肀	jaa	单根	
销	钅 肖	aug	二根	肖
宦	宀 臣	ddn	二根	臣
咱	口 自	pcv	二根	自
室	宀 至	drn	二根	至
舀	爫 臼	cbq	二根	臼
括	扌 舌	vji	二根	舌
舟	舟	rgg	单根	
银	钅 艮	aix	二根	艮
芒	芒	zjj	单根	
摸	扌 莫	vqk	二根	莫
唬	口 虎	ppt	二根	虎
独	犭 虫	rhk	二根	虫
恤	忄 血	gcu	二根	血
桁	木 行	yef	二根	行
依	亻 衣	ihi	二根	衣
牺	牜 西	rxg	二根	西
角	角	tjj	单根	
誉	兴 言	jok	二根	言
容	宀 谷	dla	二根	谷
短	矢 豆	lxn	二根	豆
像	亻 象	iwp	二根	象
徒	彳 走	tus	二根	走
促	亻 足	ihb	二根	足
阵	阝 车	eep	二根	车
辞	舌 辛	jvc	二根	辛
僻	亻 辟	iwu	二根	辟
连	车 辶	edf	二根	辶
扈	户 邑	udv	二根	邑
酒	氵 酉	mfd	二根	酉
酋	酋	hxx	单根	
埋	土 里	cgh	二根	里
衔	行 钅	eal	二根	钅
套	大 镸	nis	二根	镸
帐	巾 长	szx	二根	长
扪	扌 门	vzi	二根	门
郑	关 阝	mer	二根	阝
难	又 隹	zof	二根	隹
排	扌 非	vyx	二根	非
缅	纟 面	lsf	二根	面
缂	纟 革	lue	二根	革
围	囗 韦	xfy	二根	韦
暗	日 音	whr	二根	音
頁	頁	ldd	单根	
须	彡 页	cmg	二根	页
疯	疒 风	wqm	二根	风
飧	夕 食	qnn	二根	食
馗	九 首	tfq	二根	首
妈	女 马	owm	二根	马
滑	氵 骨	muv	二根	骨
搞	扌 高	vci	二根	高
隔	阝 鬲	egn	二根	鬲
魔	麻 鬼	ajd	二根	鬼
渔	氵 鱼	mbi	二根	鱼
鸡	又 鸟	zuc	二根	鸟
麓	林 鹿	gdo	二根	鹿
麦	麦	nqq	单根	
嘛	口 麻	pav	二根	麻
嘿	口 黑	pgp	二根	黑
绳	纟 黾	lwi	二根	黾
鼠	鼠	uzz	单根	
擤	扌 鼻	vbf	二根	鼻
挤	扌 齐	vey	二根	齐
啮	口 齿	ptw	二根	齿
庞	广 龙	ftl	二根	龙
举	兴 	jvl	二根	
禺	日 	wtk	二根	
冬	夂 	scd	二根	
尽	尺 	qcd	难拆	
叱	口 	pys	二根	
龀	齿 	tys	二根	
幸	土 	cas	二根	
声	士 	nzk	二根	
姊	女 	ocz	二根	
展	尸 	zkd	难拆	
佥	亼 	ajp	二根	
应	广 	fjp	难拆	
恭	共 	lgi	二根	
忝	天 	agi	二根	
慕	莫 	qgi	二根	
扁	户 	ute	二根	
永	丶 	mbk	二根	
拜	龵 	ccj	二根	
戎	戈 	geo	二根	
步	止 	hhl	难拆	
荒	芒 	zpv	二根	
爷	父 	hjf	难拆	
疖	疒 	wjf	二根	
节	艹 	qjf	二根	
疟	疒 	wxz	二根	
虐	虍 	pxz	二根	
农	冖 	ohi	难拆	
表	龶 	bhi	难拆	
釜	父 	hlu	二根	
肓	亡 	lhz	二根	
背	北 	ohz	二根	
肩	户 	uhz	难拆	
肯	止 	hhz	二根	
胃	田 	thz	二根	
胄	由 	khz	二根	
胥	疋 	ihz	二根	
臂	辟 	whz	二根	
青	龶 	bhz	二根	
姬	女 	oqn	二根	
乔	夭 	frj	二根	
氘	气 	drj	二根	
于	一 	feo	难拆	
乎	乊 	ceo	难拆	
兆	儿 	dwj	二根	
赤	土 	cxl	二根	
丑	乛 	bck	二根	
办	力 	say	难拆	
司	乛 	bak	难拆	
同	冂 	oak	难拆	
咸	戊 	qak	二根	
网	冂 	oiq	二根	
鼎	目 	fhw	二根	
衡	行 	ekf	二根	
义	丶 𘱌	mqi	难拆	𘱌
史	口 𘱌	pqi	难拆	𘱌
